filename,station_id,sampleID,date,depth,temperature,salinity,potential_density,dissolved_oxygen,station_name,latitude,longitude,bottom_depth_m
TH042_20220822T175456_binned.nc,TH042,20220822T175456,2022-08-23T00:54:56Z,40.65242385864258,7.671999931335449,33.534698486328125,26.174434661865234,1.5671000480651855,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,0.991618812084198,11.41919994354248,32.63779830932617,24.86712646484375,6.470799922943115,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,1.983232855796814,11.344200134277344,32.637901306152344,24.880695343017578,6.339000225067139,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,2.974842071533203,11.24120044708252,32.6593017578125,24.915771484375,6.264100074768066,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,3.9664463996887207,11.17650032043457,32.654701232910156,24.923723220825195,6.210700035095215,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,4.958045959472656,11.120800018310547,32.661800384521484,24.93913459777832,6.155200004577637,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,5.94964075088501,11.086199760437012,32.660701751708984,24.944406509399414,6.019199848175049,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,6.941230773925781,11.014200210571289,32.67509841918945,24.96832275390625,5.869699954986572,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,7.932816028594971,10.930700302124023,32.69969940185547,25.002147674560547,5.750500202178955,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,8.924396514892578,10.853099822998047,32.705299377441406,25.02008628845215,5.622600078582764,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,9.915971755981445,10.795700073242188,32.7150993347168,25.037723541259766,4.988100051879883,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,10.90754222869873,10.572400093078613,32.76350021362305,25.11404800415039,4.533299922943115,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,11.899107933044434,10.311300277709961,32.80009841918945,25.18711280822754,4.273900032043457,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,12.890668869018555,10.048600196838379,32.84370040893555,25.265243530273438,4.23829984664917,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,13.88222599029541,9.965299606323242,32.84960174560547,25.2836971282959,4.190899848937988,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,14.873777389526367,9.925800323486328,32.867000579833984,25.303821563720703,3.8882999420166016,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,15.865324020385742,9.697600364685059,32.92110061645508,25.3835506439209,3.7098000049591064,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,16.85686492919922,9.437700271606445,32.920101165771484,25.42481803894043,3.654400110244751,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,17.84840202331543,9.297300338745117,32.945098876953125,25.466787338256836,3.567199945449829,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,18.839935302734375,9.199899673461914,32.98820114135742,25.51593589782715,3.289400100708008,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,19.831462860107422,9.067000389099121,33.01139831542969,25.555002212524414,2.983799934387207,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,20.82298469543457,8.969300270080566,33.0640983581543,25.611501693725586,2.761399984359741,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,21.814502716064453,8.844799995422363,33.15510177612305,25.70206069946289,2.516700029373169,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,22.806015014648438,8.705699920654297,33.20000076293945,25.758634567260742,2.4195001125335693,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,23.797523498535156,8.633899688720703,33.209800720214844,25.777284622192383,2.447000026702881,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,24.789026260375977,8.622200012207031,33.21649932861328,25.784313201904297,2.3334999084472656,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,25.78052520751953,8.55210018157959,33.235801696777344,25.810091018676758,2.0866000652313232,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,26.772018432617188,8.491600036621094,33.254398345947266,25.833824157714844,1.916700005531311,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,27.763507843017578,8.465999603271484,33.257198333740234,25.83987808227539,1.5872000455856323,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,28.75499153137207,8.34570026397705,33.3125,25.901302337646484,1.3001999855041504,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,29.746471405029297,8.236599922180176,33.36309814453125,25.95725440979004,1.2056000232696533,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,30.737945556640625,8.189800262451172,33.386600494384766,25.982648849487305,1.17330002784729,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,31.729413986206055,8.134300231933594,33.40660095214844,26.006563186645508,1.2092000246047974,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,32.72087860107422,8.06149959564209,33.4286994934082,26.03464126586914,1.2074999809265137,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,33.71234130859375,7.932400226593018,33.46220016479492,26.0798282623291,1.1691999435424805,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,34.70379638671875,7.8557000160217285,33.49760055541992,26.118776321411133,1.1145999431610107,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,35.69524383544922,7.840400218963623,33.4995002746582,26.12249755859375,1.048799991607666,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,36.68669128417969,7.822999954223633,33.50910186767578,26.132566452026367,1.0440000295639038,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,37.678131103515625,7.818999767303467,33.51350021362305,26.136615753173828,1.0051000118255615,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,38.6695671081543,7.787799835205078,33.535301208496094,26.15825653076172,0.7879999876022339,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,39.6609992980957,7.752600193023682,33.56060028076172,26.18321418762207,0.685699999332428,Teahwhit Head,47.8762,124.7334,42
TH042_20220920T184409_binned.nc,TH042,20220920T184409,2022-09-21T01:44:09Z,40.65242385864258,7.7067999839782715,33.6077995300293,26.22689437866211,0.6953999996185303,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,0.991618812084198,10.5693998336792,32.51240158081055,24.91895294189453,8.410499572753906,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,1.983232855796814,10.198399543762207,32.50920104980469,24.979305267333984,7.5817999839782715,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,2.974842071533203,10.077099800109863,32.52199935913086,25.0095272064209,7.045400142669678,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,3.9664463996887207,9.982099533081055,32.564701080322266,25.058589935302734,6.443699836730957,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,4.958045959472656,9.85200023651123,32.545799255371094,25.065256118774414,6.1579999923706055,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,5.94964075088501,9.629799842834473,32.64149856567383,25.176172256469727,5.731599807739258,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,6.941230773925781,9.394100189208984,32.66400146484375,25.231605529785156,5.417200088500977,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,7.932816028594971,9.224200248718262,32.61690139770508,25.221696853637695,5.196199893951416,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,8.924396514892578,9.083700180053711,32.60660171508789,25.235654830932617,5.054699897766113,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,9.915971755981445,8.994099617004395,32.619598388671875,25.259756088256836,5.018199920654297,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,10.90754222869873,8.961999893188477,32.63090133666992,25.27357292175293,5.003300189971924,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,11.899107933044434,8.9443998336792,32.6531982421875,25.293750762939453,5.077400207519531,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,12.890668869018555,8.953100204467773,32.67340087890625,25.308218002319336,5.091100215911865,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,13.88222599029541,8.966699600219727,32.687801361083984,25.317384719848633,5.103000164031982,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,14.873777389526367,8.978599548339844,32.719600677490234,25.340429306030273,5.063199996948242,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,15.865324020385742,8.969499588012695,32.736000061035156,25.354677200317383,4.932600021362305,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,16.85686492919922,8.923800468444824,32.77220153808594,25.39008903503418,4.500500202178955,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,17.84840202331543,8.8563995361328125,32.81589889526367,25.43470001220703,4.15500020980835,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,18.839935302734375,8.696399688720703,32.88819885253906,25.515836715698242,4.085299968719482,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,19.831462860107422,8.608699798583984,32.94340133666992,25.572416305541992,4.003600120544434,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,20.82298469543457,8.553899765014648,32.977901458740234,25.60774040222168,3.907099962234497,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,21.814502716064453,8.509300231933594,33.001800537109375,25.633195877075195,3.8041999340057373,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,22.806015014648438,8.4832000732421875,33.012298583984375,25.64535140991211,3.712399959564209,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,23.797523498535156,8.432299613952637,33.02859878540039,25.665767669677734,3.675299882888794,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,24.789026260375977,8.410200119018555,33.03889846801758,25.677146911621094,3.624000072479248,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,25.78052520751953,8.378399848937988,33.06420135498047,25.70173454284668,3.6173999309539795,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,26.772018432617188,8.369500160217285,33.086299896240234,25.720386505126953,3.5706000328063965,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,27.763507843017578,8.342599868774414,33.1088981628418,25.742116928100586,3.5178000926971436,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,28.75499153137207,8.322999954223633,33.1239013671875,25.75679588317871,3.4307000637054443,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,29.746471405029297,8.2845001220703125,33.15950012207031,25.790437698364258,3.3666999340057373,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,30.737945556640625,8.231800079345703,33.21099853515625,25.838668823242188,3.2844998836517334,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,31.729413986206055,8.19729995727539,33.240299224853516,25.866775512695312,3.193700075149536,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,32.72087860107422,8.173500061035156,33.26530075073242,25.889923095703125,3.123800039291382,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,33.71234130859375,8.147199630737305,33.2947998046875,25.91696548461914,2.9623000621795654,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,34.70379638671875,8.086999893188477,33.364498138427734,25.98053741455078,2.7994000911712646,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,35.69524383544922,7.997700214385986,33.4635009765625,26.071352005004883,2.61899995803833,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,36.68669128417969,7.902299880981445,33.57429885864258,26.172277450561523,2.5627999305725098,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,37.678131103515625,7.833000183105469,33.63930130004883,26.233402252197266,2.3938000202178955,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,38.6695671081543,7.768599987030029,33.7150993347168,26.302274703979492,2.3761000633239746,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,39.6609992980957,7.734799861907959,33.749900817871094,26.334505081176758,2.35509991645813,Teahwhit Head,47.8762,124.7334,42
TH042_20230531T220731_binned.nc,TH042,20230531T220731,2023-06-01T05:07:31Z,40.65242385864258,7.710599899291992,33.77579879760742,26.35835838317871,2.4307000637054443,Teahwhit Head,47.8762,124.7334,42
TH042_20230616T220256_binned.nc,TH042,20230616T220256,2023-06-17T05:02:56Z,0.991618812084198,12.22350025177002,32.048099517822266,24.2615966796875,8.251500129699707,Teahwhit Head,47.8762,124.7334,42
TH042_20230616T220256_binned.nc,TH042,20230616T220256,2023-06-17T05:02:56Z,1.983232855796814,12.179499626159668,32.066898345947266,24.28440284729004,8.180700302124023,Teahwhit Head,47.8762,124.7334,42
TH042_20230616T220256_binned.nc,TH042,20230616T220256,2023-06-17T05:02:56Z,2.974842071533203,12.055000305175781,32.07889938354492,24.316883087158203,8.178199768066406,Teahwhit Head,47.8762,124.7334,42
TH042_20230616T220256_binned.nc,TH042,20230616T220256,2023-06-17T05:02:56Z,3.9664463996887207,11.993200302124023,32.08060073852539,24.329648971557617,8.218099594116211,Teahwhit Head,47.8762,124.7334,42
TH042_20230616T220256_binned.nc,TH042,20230616T220256,2023-06-17T05:02:56Z,4.958045959472656,12.019399642944336,32.075801849365234,24.321081161499023,8.237700462341309,Teahwhit Head,47.8762,124.7334,42
TH042_20230616T220256_binned.nc,TH042,20230616T220256,2023-06-17T05:02:56Z,5.94964075088501,12.062100410461426,32.0702018737793,24.308826446533203,8.23270034790039,Teahwhit Head,47.8762,124.7334,42
TH042_20230616T220256_binned.nc,TH042,20230616T220256,2023-06-17T05:02:56Z,6.941230773925781,12.080599784851074,32.0703010559082,24.30547332763672,8.225099563598633,Teahwhit Head,47.8762,124.7334,42
TH042_20230616T220256_binned.nc,TH042,20230616T220256,2023-06-17T05:02:56Z,7.932816028594971,12.065699577331543,32.0447998046875,24.288461685180664,7.817299842834473,Teahwhit Head,47.8762,124.7334,42
TH042_20230616T220256_binned.nc,TH042,20230616T220256,2023-06-17T05:02:56Z,8.924396514892578,11.769000053405762,32.136199951171875,24.414020538330078,7.348299980163574,Teahwhit Head,47.8762,124.7334,42
