"","date","SST_C","Chlor_a_mg_m_3","Mean_SST_Error"
"1",2021-05-01,11.7568935064935,NA,0.382701298701299
"2",2021-05-02,11.7963324675325,1.992469708,0.382337662337662
"3",2021-05-03,11.6062753246753,NA,0.38
"4",2021-05-04,11.4094831168831,1.568073525,0.376207792207792
"5",2021-05-05,11.4008233766234,NA,0.374
"6",2021-05-06,11.432174025974,NA,0.38
"7",2021-05-07,11.152361038961,1.5686426044,0.387636363636364
"8",2021-05-08,10.7117376623377,NA,0.385064935064935
"9",2021-05-09,11.0333662337662,1.559814568,0.381090909090909
"10",2021-05-10,11.2370077922078,NA,0.378181818181818
"11",2021-05-11,11.3091896103896,NA,0.376623376623377
"12",2021-05-12,11.0830415584416,NA,0.380727272727273
"13",2021-05-13,10.8302415584416,NA,0.39
"14",2021-05-14,10.2996077922078,NA,0.386467532467532
"15",2021-05-15,10.1430181818182,NA,0.384753246753247
"16",2021-05-16,10.136561038961,NA,0.38587012987013
"17",2021-05-17,9.86132987012987,NA,0.381688311688312
"18",2021-05-18,9.62590909090909,1.90305878789474,0.378103896103896
"19",2021-05-19,9.49467532467532,26.416872,0.371558441558442
"20",2021-05-20,9.39137922077922,NA,0.374103896103896
"21",2021-05-21,9.39102857142857,NA,0.380025974025974
"22",2021-05-22,9.6804025974026,NA,0.39
"23",2021-05-23,10.0564363636364,NA,0.39
"24",2021-05-24,10.2987038961039,NA,0.39
"25",2021-05-25,10.4093714285714,0.964100216666667,0.39
"26",2021-05-26,10.4119376623377,NA,0.39
"27",2021-05-27,10.5977324675325,0.291394975714286,0.39
"28",2021-05-28,10.8903844155844,NA,0.382025974025974
"29",2021-05-29,11.2755064935065,8.26040569090909,0.38
"30",2021-05-30,11.6090545454545,NA,0.38
"31",2021-05-31,11.5838363636364,4.34866941666667,0.38
"32",2021-06-01,11.4892753246753,5.351060644,0.384987012987013
"33",2021-06-02,12.0121948051948,10.0878454208333,0.383194805194805
"34",2021-06-03,11.8250987012987,NA,0.380233766233766
"35",2021-06-04,11.7029922077922,NA,0.378181818181818
"36",2021-06-05,11.6189896103896,NA,0.38
"37",2021-06-06,11.2387116883117,NA,0.380103896103896
"38",2021-06-07,11.3891584415584,1.87992374117647,0.377766233766234
"39",2021-06-08,11.7767714285714,3.85834897058824,0.372025974025974
"40",2021-06-09,12.1498519480519,3.6903874,0.372415584415584
"41",2021-06-10,12.1472493506493,NA,0.38
"42",2021-06-11,12.1315402597403,NA,0.384103896103896
"43",2021-06-12,11.7062363636364,NA,0.39
"44",2021-06-13,11.8999064935065,NA,0.39
"45",2021-06-14,12.6591168831169,3.59294530454545,0.39
"46",2021-06-15,13.7820727272727,1.41390220869565,0.380441558441558
"47",2021-06-16,13.9994623376623,3.05792322083333,0.38
"48",2021-06-17,15.0709844155844,3.92088615625,0.372805194805195
"49",2021-06-18,15.5128233766234,NA,0.372051948051948
"50",2021-06-19,15.5302805194805,1.43405746666667,0.376181818181818
"51",2021-06-20,15.4583974025974,NA,0.383532467532468
"52",2021-06-21,14.9390857142857,NA,0.382961038961039
"53",2021-06-22,14.8688805194805,NA,0.380831168831169
"54",2021-06-23,14.8767896103896,0.64648848,0.383532467532468
"55",2021-06-24,14.716412987013,NA,0.386961038961039
"56",2021-06-25,15.0886077922078,9.230224972,0.387116883116883
"57",2021-06-26,15.9886597402597,6.493110608,0.386233766233766
"58",2021-06-27,16.1970363636364,NA,0.382779220779221
"59",2021-06-28,16.3456883116883,6.172419476,0.382961038961039
"60",2021-06-29,16.5050857142857,NA,0.39
"61",2021-06-30,16.6075454545455,NA,0.39
"62",2021-07-01,14.8059038961039,0.42684042,0.39
"63",2021-07-02,14.8537038961039,NA,0.39
"64",2021-07-03,14.9978285714286,NA,0.39
"65",2021-07-04,14.7400571428571,NA,0.39
"66",2021-07-05,14.8562103896104,NA,0.39
"67",2021-07-06,14.6097246753247,NA,0.39
"68",2021-07-07,13.4019402597403,NA,0.39
"69",2021-07-08,13.3073896103896,0.7141203075,0.39
"70",2021-07-09,13.1524779220779,NA,0.39
"71",2021-07-10,13.3536987012987,NA,0.39
"72",2021-07-11,13.3050857142857,NA,0.389272727272727
"73",2021-07-12,13.1086753246753,NA,0.39
"74",2021-07-13,12.9046103896104,NA,0.39
"75",2021-07-14,12.7075324675325,NA,0.39
"76",2021-07-15,12.098174025974,NA,0.39
"77",2021-07-16,12.6621636363636,NA,0.39
"78",2021-07-17,12.8208155844156,3.7528373047619,0.385506493506494
"79",2021-07-18,12.8931350649351,4.7875079,0.380779220779221
"80",2021-07-19,13.1395558441558,5.706130625,0.382337662337662
"81",2021-07-20,13.8260675324675,2.386535015,0.383948051948052
"82",2021-07-21,13.8614831168831,1.42830883176471,0.378623376623377
"83",2021-07-22,13.9008987012987,11.4179372863636,0.37574025974026
"84",2021-07-23,13.8296051948052,4.4288613,0.380363636363636
"85",2021-07-24,14.0597168831169,NA,0.383662337662338
"86",2021-07-25,14.1257272727273,NA,0.381142857142857
"87",2021-07-26,13.8975948051948,4.8405862,0.381532467532468
"88",2021-07-27,13.6859064935065,8.50987040454545,0.381350649350649
"89",2021-07-28,13.8977324675325,11.8729538434783,0.380909090909091
"90",2021-07-29,14.2383506493507,NA,0.382805194805195
"91",2021-07-30,14.2720311688312,NA,0.388337662337662
"92",2021-07-31,14.0824753246753,NA,0.39
"93",2021-08-01,12.8525246753247,NA,0.39
"94",2021-08-02,12.8418961038961,4.40167672222222,0.384519480519481
"95",2021-08-03,13.0090285714286,NA,0.38374025974026
